Pubchem ID, InChi, InChiKey, Canonical Smiles, Isomeric Smiles
69221,InChI=1S/C3H7NO2/c1-6-3(5)2-4/h2_4H2_1H3,KQSSATDQUYCRGS-UHFFFAOYSA-N,COC(=O)CN,COC(=O)CN
69811,InChI=1S/C3H7NOS/c4-3(5)1-2-6/h6H_1-2H2_(H2_4_5),JLSJEUQOXVVCPN-UHFFFAOYSA-N,C(CS)C(=O)N,C(CS)C(=O)N
69867,InChI=1S/C9H7NO2/c11-9(12)7-5-10-8-4-2-1-3-6(7)8/h1-5_10H_(H_11_12),KMAKOBLIOCQGJP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)C(=O)O,C1=CC=C2C(=C1)C(=CN2)C(=O)O
70140,InChI=1S/C8H8O4/c1-12-6-4-2-3-5(7(6)9)8(10)11/h2-4_9H_1H3_(H_10_11),AUZQQIPZESHNMG-UHFFFAOYSA-N,COC1=CC=CC(=C1O)C(=O)O,COC1=CC=CC(=C1O)C(=O)O
70610,InChI=1S/C6H10O4/c1-2-10-6(9)4-3-5(7)8/h2-4H2_1H3_(H_7_8),LOLKAJARZKDJTD-UHFFFAOYSA-N,CCOC(=O)CCC(=O)O,CCOC(=O)CCC(=O)O
72913,InChI=1S/C7H6N2/c8-5-6-3-1-2-4-7(6)9/h1-4H_9H2,HLCPWBZNUKCSBN-UHFFFAOYSA-N,C1=CC=C(C(=C1)C#N)N,C1=CC=C(C(=C1)C#N)N
73913,InChI=1S/C6H11NO4/c1-11-5(8)3-2-4(7)6(9)10/h4H_2-3_7H2_1H3_(H_9_10),ZGEYCCHDTIDZAE-UHFFFAOYSA-N,COC(=O)CCC(C(=O)O)N,COC(=O)CCC(C(=O)O)N
74190,InChI=1S/C2H7O4P/c1-2-6-7(3_4)5/h2H2_1H3_(H2_3_4_5),ZJXZSIYSNXKHEA-UHFFFAOYSA-N,CCOP(=O)(O)O,CCOP(=O)(O)O
75367,InChI=1S/C3H5NO3/c4-2(5)1-3(6)7/h1H2_(H2_4_5)(H_6_7),CGJMROBVSBIBKP-UHFFFAOYSA-N,C(C(=O)N)C(=O)O,C(C(=O)N)C(=O)O
75484,InChI=1S/C8H8O4/c1-12-8(11)5-3-2-4-6(9)7(5)10/h2-4_9-10H_1H3,DOAJWTSNTNAEIY-UHFFFAOYSA-N,COC(=O)C1=C(C(=CC=C1)O)O,COC(=O)C1=C(C(=CC=C1)O)O
75606,InChI=1S/C3H5NO3/c5-2-4-1-3(6)7/h2H_1H2_(H_4_5)(H_6_7),UGJBHEZMOKVTIM-UHFFFAOYSA-N,C(C(=O)O)NC=O,C(C(=O)O)NC=O
